IMG_,@Photos,DESCRIPTION,URL STRING,LINK,YEAR,TYPE,STATUS,TYPOLOGY_01,TYPOLOGY_02,REM?,,TEAM_01,TEAM_02,TEAM_03,TEAM_04,TEAM_05,TEAM_06,TEAM_07,TEAM_08,TEAM_09,TEAM_10,TEAM_11,TEAM_12,TEAM_13,TEAM_14,TEAM_15,TEAM_16,TEAM_17,TEAM_18,TEAM_19,TEAM_20,TEAM_21,TEAM_22,TEAM_23,TEAM_24,TEAM_25,TEAM_26,TEAM_27,TEAM_28,TEAM_29,TEAM_30,TEAM_31,TEAM_32,TEAM_33,TEAM_34,TEAM_35,TEAM_36,TEAM_37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\194.jpg,Dubai Renaissance,Dubai-Renaissance,oma.eu,2006,Project,Competition,Mixed use,,TRUE,,Fernando Donis,Katrin Betschinger,Clément Blanchet,Maria Derevencova,Martin Gallovsky,Michal Gdak,Katharina Gerlach,Miho Mazereeuw,Ben Milbourne,Beatriz Minguez de Molina,Bart Schoonderbeek,Laurent Troost,Suzannah Waldron,Anneke van Zuethem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\195.jpg,Gazprom Headquarters,Gazprom-Headquarters,oma.eu,2006,Project,Competition,Mixed use,,TRUE,,Reinier de Graaf,Fernando Donis,Katrin Bernickel,Maria Derevencova,Duncan Flemington,Stephen Form,Adam Frampton,Michal Gdak,Daphna Glaubert,Richard Hollington,Joyce Hsiang,Lina Korber,Joana Da Rocha Sá Lima,Anna Little,Nicola Nett,Marc Paulin,Walter Schabmueller,Ola Strandell,Manuel Villanueva,Yang Yang,Daniel Zarhy,Zhiyang Zhang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\196.jpg,Jebel Al Jais Mountain Resort,Jebel-Al-Jais-Mountain-Resort,oma.eu,2006,Project,Design Development,Masterplan,,TRUE,,Reinier de Graaf,Luca Astorri,Samir Bantal,Tomek Bartczak,Daniele De Benedictis,Jan Dechow,Maria Derevencova,Adam Frampton,Martin Gallovsky,Beth Hughes,Pieter Janssens,Ravi Kamisetti,Bin Kim,Barend Koolhaas,So Jung Lee,Miho Mazereeuw,Mirai Morita,Ian Robertson,DESIGN DEVELOPMENTASSOCIATE,Beth Hughes,Adam Frampton,Joyce Hsiang,Jung Hwan Park,Tudor Vlasceanu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\197.jpg,"Junkspace, Quodlibet",Junkspace-Quodlibet,oma.eu,2006,Publication,Publication,N/A,,TRUE,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\198.jpg,Kuwait Al Rai Masterplan,Kuwait-Al-Rai-Masterplan,oma.eu,2006,Project,Design Development,Masterplan,,TRUE,,Reinier de Graaf,Samir Bantal,Anne-Sophie Bernard,Philippe Braun,Fernando Donis,Carlos García González,Gustavo Guimarães,Pieter Janssens,Barend Koolhaas,Miho Mazereeuw,Charles-Antoine Perreault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\199.jpg,La Defense Projet Phare,La-Defense-Projet-Phare,oma.eu,2006,Project,Competition,Mixed use,,TRUE,,Ellen van Loon,Clément Blanchet,Luca Astorri,Tomek Bartczak,Anne-Sophie Bernard,Katrin Bernickel,Andrea Bertassi,Philippe Braun,Alejandro Aguirre de Carcer,Karen Crequer,Jan Dechow,Adrianne Fisher,Duncan Flemington,Michal Gdak,Daphna Glaubert,Bin Kim,Keigo Kobayashi,Oliver Luetjens,Javier Muñoz,David Nam,Mauro Parravicini,Alain Peauroi,Charles Antoine Perreault,Yang Yang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\200.jpg,Nancy Artem Campus,Nancy-Artem-Campus,oma.eu,2006,Project,Competition,Education,,TRUE,,Floris Alkemade,Clément Blanchet,Joshua Beck,Philippe Braun,Karen Crequer,Anders Esko-Nielsen,Olivia Fontanetti,Adam Furman,Stamatis Giannikis,Kristian Holm,Peter Jannssens,Daniel Klos,Johannes Kohnle,Felix Madrazo,Daniel Ostrowski,Joao Ruivo,Karel Wuytack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\201.jpg,Porsche Towers,Porsche-Towers,oma.eu,2006,Project,Design Development,Mixed use,,TRUE,,Fernando Donis,Alexandria Algard,Berit Bessell,Katrin Betschinger,Alexander Giarlis,Uli Herres,Jin Hong Jeon,Martti Kalliala,Michel van de Kar,Daan Ooievaar,Mauro Parravicini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\202.jpg,"Post-Occupancy, Domus d'Autore",Post-Occupancy-Domus-d'Autore,oma.eu,2006,Publication,Publication,N/A,,TRUE,,Kayoko Ota,Alex Lin,Michael Rock,Felix Madrazo,Christina Murphy,Marieke Kums,Brendan McGetrick,Mee Michelle Liu,Michael Smith,Ademide Adelusi Adeluyi,Reinier de Graaf,Jason Long,Ole Scheeren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\203.jpg,Riga Contemporary Art Museum,Riga-Contemporary-Art-Museum,oma.eu,2006,Project,Commissioned Study,Museum / Gallery,,TRUE,,Reinier de Graaf,Beth Hughes,Miho Mazereeuw,Daniele De Benedictis,Anders Berensson,Andrea Bertassi,Gabriela Bojalil,Maria Derevencova,Markus Dettling,Arjan Geelhoed,Soe Hwang,Keigo Kobayashi,Klaas Kresse,Ilze Kruskopa,Mara Liepa-Zemesa,Martin Murrenhoff,Ludvig Netre,Marc Paulin,Todd Reisz,Koen Stockbroekx,Daliana Suryawinata,Alice Wong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\204.jpg,Riga Port City,Riga-Port-City,oma.eu,2006,Project,Commissioned Study,Masterplan,,TRUE,,Reinier de Graaf,Samir Bantal,Thibaut Barrault,Marta Bastos,Gabriela Bojalil,Maria Derevencova,Markus Dettling,Marcin Ganczarski,Achim Gergen,Daphna Glaubert,Benny Ho,Joyce Hsiang,Beth Hughes,Simon de Jong,Keigo Kobayashi,Johannes Kohnle,Jang Hwan Lee,Brendan McGetrick,Anne Menke,Martin Murrenhoff,Mathieu De Paepe,Felix Tönis,Olga Vazquez-Ruano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\205.jpg,Scotts Tower,Scotts-Tower,oma.eu,2006,Project,Design Development,Mixed use,,FALSE,,Ole Scheeren,Eric Chang,Caro Baumann,Dan Cheong,Kevin S.K. Lim,Chiaju Lin,Ted Lin,Johann Oesterle,Amie Shao,Joseph Tang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\206.jpg,Serpentine Gallery Pavilion,Serpentine-Gallery-Pavilion,oma.eu,2006,Project,Completed,Museum / Gallery,,TRUE,,Clément Blanchet,Karen Crequer,Adam Furman,Karel Wuytack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\207.jpg,"The Gulf, Lars Müller Publishers",The-Gulf-Lars-Müller-Publishers,oma.eu,2006,Publication,Publication,N/A,,TRUE,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\208.jpg,Venice Biennale 2006: The Gulf,Venice-Biennale-2006:-The-Gulf,oma.eu,2006,Project,Completed,Exhibition,,TRUE,,Reinier de Graaf,Kayoko Ota,William Todd Reisz,Hausatu Abdul-Karim,Ademide Adelusi Adeluyi,Jason Atkins,Samir Bantal,Tomek Bartczak,Anne-Sophie Bernard,Andrea Bertassi,Katrin Betschinger,Ezra Block,Fernando Donis,Talia Dorsey,Martin Gallovsky,Lily Jencks,Ravi Kamisetti,Julie Kaufman,Daniel Klos,Jan Knikker,Barend Koolhaas,Sara Martin,Miho Mazereeuw,Cristina Cassandra Murphy,Charles-Antoine Perreault,Daniel Rabin,Marieke Rietbergen,Guillaume Yersin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\209.jpg,Zaragoza Museum of Fine Arts,Zaragoza-Museum-of-Fine-Arts,oma.eu,2006,Project,Competition,Museum / Gallery,,TRUE,,Ellen van Loon,Stine Avlund,Christina Beaumont,Anders Berensson,Andrea Bertassi,Anders Esko-Nielsen,Mariano Sagasta Garcia,Katharina Gerlach,Carlos García González,Beth Hughes,Johannes Kohnle,Henrike Kortemeyer,Anna Little,Javier Muñoz,Cristina Cassandra Murphy,Mauro Parravicini,Todd Reisz,Maurizio Scarciglia,Shohei Shigematsu,Lorenzo Vianello,Hilbrand Wanders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
